"gid","GPS_longitude","GPS_latitude","cell","cosecha_ha_parcela_2","cosecha_ha_anoanterior_2","cosecha_ha_parcela","cosecha_ha_anoanterior","start","end"
1,-79.4745353,-6.0915894,30398,10,10,10,10,2022-03-12,2022-03-12
4,-79.475172,-6.103797,30651,4,10,4,10,2022-03-13,2022-03-13
17,-79.48587,-6.1500633,30904,20,20,20,20,2022-03-13,2022-03-13
19,-79.5191317,-6.2210151,31156,24,6,24,6,2022-03-15,2022-03-16
20,-79.5161168,-6.1296078,30650,8,8,8,8,2022-03-14,2022-03-16
25,-79.5410049,-6.0062724,30144,47.62,30,47.62,30,2022-03-17,2022-03-17
30,-79.6398871,-5.1967754,25841,10,30,10,30,2022-03-16,2022-03-17
68,-79.6487838,-5.2014065,26094,7.5,15,7.5,15,2022-03-19,2022-03-19
71,-74.53896,-11.4696962,57821,8.75,1.39492753623188,8.75,77,2022-03-18,2022-03-19
79,-79.4850761,-6.0380095,30145,10,5,10,5,2022-03-20,2022-03-21
86,-79.5497292,-5.9991168,29891,2.14,3,2.14,3,2022-03-16,2022-03-16
87,-79.5500379,-5.9999216,29890,12,6,12,6,2022-03-16,2022-03-16
88,-79.5506558,-6.0021277,30143,0,0,0,0,2022-03-16,2022-03-16
110,-74.5043963,-11.3737973,57315,19.8,1.79347826086957,19.8,99,2022-03-18,2022-03-22
115,-74.4791126,-11.4750277,57822,10.73,59,10.73,59,2022-03-19,2022-03-22
117,-74.5129663,-11.5203992,58074,13,26,13,26,2022-03-21,2022-03-22
119,-74.3724723,-11.6984401,58836,18.57,1.17753623188406,18.57,65,2022-03-21,2022-03-21
121,-74.3705236,-11.6488181,58583,7,14,7,14,2022-03-21,2022-03-21
122,-74.4724053,-11.5512504,58328,16,16,16,16,2022-03-22,2022-03-22
126,-74.5069688,-11.5659161,58327,20,50,20,50,2022-03-22,2022-03-22
145,-79.6076844,-5.2620811,26347,8,8,8,8,2022-03-24,2022-03-24
146,-79.6971421,-5.1664552,25840,10,5,10,5,2022-03-24,2022-03-24
154,-79.6805851,-5.2022678,26093,12,3,12,3,2022-03-17,2022-03-17
192,-79.7002823,-5.1679498,25839,10,10,10,10,2022-03-15,2022-03-22
254,-74.3761384,-11.3703103,57318,20,2.17391304347826,20,120,2022-03-25,2022-03-29
256,-74.55361,-11.5009571,58073,5,15,5,15,2022-03-25,2022-03-30
258,-74.5504465,-11.4845923,57820,2.86,20,2.86,20,2022-03-25,2022-03-30
260,-74.571516,-11.4467805,57567,6.67,20,6.67,20,2022-03-30,2022-03-30
263,-74.4896745,-11.5325464,58075,16.67,50,16.67,50,2022-03-23,2022-03-23
266,-74.3803104,-11.4543679,57824,5,10,5,10,2022-03-24,2022-03-24
268,-74.3061895,-11.3886688,57319,6.8,17,6.8,17,2022-03-25,2022-03-29
270,-74.3318834,-11.4075059,57572,21,1.52173913043478,21,84,2022-03-25,2022-03-29
275,-74.3509069,-11.4453492,57571,6,18,6,18,2022-03-25,2022-03-29
281,-74.2935683,-11.5510808,58332,22.5,2.44565217391304,22.5,135,2022-03-30,2022-03-31
285,-74.2976854,-11.54758,58079,23.75,3.44202898550725,23.75,190,2022-03-29,2022-03-31
303,-79.834909,-4.5750755,22801,10,5,10,5,2022-03-31,2022-04-02
304,-79.8145853,-4.6277237,23054,4,5,4,5,2022-04-02,2022-04-02
313,-74.4060826,-11.6883117,58835,16.5,1.19565217391304,16.5,66,2022-04-04,2022-04-04
317,-74.3011731,-11.0687935,55801,26.43,3.35144927536232,26.43,185,2022-04-04,2022-04-04
318,-74.2981092,-11.3567918,57320,21,1.90217391304348,21,105,2022-04-01,2022-04-04
324,-74.438662,-11.7030267,59088,16.67,50,16.67,50,2022-03-31,2022-04-04
328,-74.2861577,-11.0152578,55549,39.2,1.77536231884058,39.2,98,2022-04-04,2022-04-04
331,-74.3002031,-11.1055361,56054,10,40,10,40,2022-04-04,2022-04-04
346,-74.2940606,-11.0693096,55802,2,20,2,20,2022-04-04,2022-04-04
348,-74.3151347,-11.3415487,57066,22,1.99275362318841,22,110,2022-04-05,2022-04-05
349,-74.4403885,-11.2994429,56811,12.5,50,12.5,50,2022-04-05,2022-04-05
350,-74.4406956,-11.3005709,57064,20.33,1.10507246376812,20.33,61,2022-04-05,2022-04-05
361,-74.3219433,-10.9978661,55295,22.38,4.25724637681159,22.38,235,2022-04-04,2022-04-06
362,-74.3207873,-11.5503107,58331,21,1.90217391304348,21,105,2022-03-30,2022-04-06
371,-74.3895779,-11.3472963,57065,10.29,18,10.29,18,2022-03-25,2022-04-06
383,-74.491103,-11.4263181,57569,8,24,8,24,2022-04-07,2022-04-07
392,-78.9324007,-5.2354355,26108,20,60,20,60,2022-05-10,2022-05-10
395,-79.005153,-5.1151689,25600,15,30,15,30,2022-04-30,2022-04-30
396,-78.8436783,-5.1835517,25857,40.8,1.84782608695652,40.8,102,2022-05-02,2022-05-07
402,-79.0646283,-5.1451772,25599,NA,50,NA,50,2022-05-03,2022-05-03
403,-79.055308,-5.1500847,25852,NA,40,NA,40,2022-05-03,2022-05-11
406,-79.0341744,-5.0278396,25094,NA,25,NA,25,2022-05-04,2022-05-04
426,-79.0491585,-5.0956486,25347,NA,30,NA,30,2022-05-09,2022-05-09
429,-79.0515308,-5.0858243,25346,NA,1.81159420289855,NA,100,2022-05-09,2022-05-14
434,-78.8773187,-5.1874254,25856,NA,1.44927536231884,NA,80,2022-05-05,2022-05-07
